raceid,circuitid,alt,resultid,statusid
18,1,10,1,1
18,1,10,2,1
18,1,10,3,1
18,1,10,4,1
18,1,10,5,1
18,1,10,6,11
18,1,10,7,5
18,1,10,8,5
18,1,10,9,4
18,1,10,10,3
18,1,10,11,7
18,1,10,12,8
18,1,10,13,5
18,1,10,14,4
18,1,10,15,10
18,1,10,16,9
18,1,10,17,4
18,1,10,18,4
18,1,10,19,4
18,1,10,20,4
18,1,10,21,4
18,1,10,22,2
19,2,18,23,1
19,2,18,24,1
19,2,18,25,1
19,2,18,26,1
19,2,18,27,1
19,2,18,28,1
19,2,18,29,1
19,2,18,30,1
19,2,18,31,1
19,2,18,32,1
19,2,18,33,1
19,2,18,34,11
19,2,18,35,11
19,2,18,36,11
19,2,18,37,11
19,2,18,38,12
19,2,18,39,12
19,2,18,40,5
19,2,18,41,20
19,2,18,42,9
19,2,18,43,4
19,2,18,44,20
20,3,7,45,1
20,3,7,46,1
20,3,7,47,1
20,3,7,48,1
20,3,7,49,1
20,3,7,50,1
20,3,7,51,1
20,3,7,52,1
20,3,7,53,1
20,3,7,54,1
20,3,7,55,1
20,3,7,56,11
20,3,7,57,11
20,3,7,58,11
20,3,7,59,11
20,3,7,60,11
20,3,7,61,11
20,3,7,62,11
20,3,7,63,12
20,3,7,64,6
20,3,7,65,4
20,3,7,66,5
21,4,109,67,1
21,4,109,68,1
21,4,109,69,1
21,4,109,70,1
21,4,109,71,1
21,4,109,72,1
21,4,109,73,1
21,4,109,74,1
21,4,109,75,1
21,4,109,76,11
21,4,109,77,11
21,4,109,78,11
21,4,109,79,11
21,4,109,80,5
21,4,109,81,5
21,4,109,82,4
21,4,109,83,3
21,4,109,84,21
21,4,109,85,4
21,4,109,86,4
21,4,109,87,4
21,4,109,88,4
22,5,130,89,1
22,5,130,90,1
22,5,130,91,1
22,5,130,92,1
22,5,130,93,1
22,5,130,94,1
22,5,130,95,1
22,5,130,96,1
22,5,130,97,1
22,5,130,98,1
22,5,130,99,11
22,5,130,100,11
22,5,130,101,11
22,5,130,102,11
22,5,130,103,11
22,5,130,104,11
22,5,130,105,11
22,5,130,106,22
22,5,130,107,4
22,5,130,108,4
23,6,7,109,1
23,6,7,110,1
23,6,7,111,1
23,6,7,112,1
23,6,7,113,1
23,6,7,114,1
23,6,7,115,1
23,6,7,116,1
23,6,7,117,1
23,6,7,118,11
23,6,7,119,11
23,6,7,120,11
23,6,7,121,11
23,6,7,122,14
23,6,7,123,4
23,6,7,124,3
23,6,7,125,3
23,6,7,126,6
23,6,7,127,3
23,6,7,128,4
24,7,13,129,1
24,7,13,130,1
24,7,13,131,1
24,7,13,132,1
24,7,13,133,1
24,7,13,134,1
24,7,13,135,1
24,7,13,136,1
24,7,13,137,1
24,7,13,138,1
24,7,13,139,1
24,7,13,140,1
24,7,13,141,11
24,7,13,142,20
24,7,13,143,3
24,7,13,144,20
24,7,13,145,23
24,7,13,146,4
24,7,13,147,4
24,7,13,148,6
25,8,228,149,1
25,8,228,150,1
25,8,228,151,1
25,8,228,152,1
25,8,228,153,1
25,8,228,154,1
25,8,228,155,1
25,8,228,156,1
25,8,228,157,1
25,8,228,158,1
25,8,228,159,1
25,8,228,160,1
25,8,228,161,1
25,8,228,162,11
25,8,228,163,11
25,8,228,164,11
25,8,228,165,11
25,8,228,166,11
25,8,228,167,11
25,8,228,168,4
26,9,153,169,1
26,9,153,170,1
26,9,153,171,1
26,9,153,172,11
26,9,153,173,11
26,9,153,174,11
26,9,153,175,11
26,9,153,176,11
26,9,153,177,11
26,9,153,178,11
26,9,153,179,11
26,9,153,180,11
26,9,153,181,12
26,9,153,182,20
26,9,153,183,20
26,9,153,184,20
26,9,153,185,20
26,9,153,186,20
26,9,153,187,4
26,9,153,188,4
27,10,103,189,1
27,10,103,190,1
27,10,103,191,1
27,10,103,192,1
27,10,103,193,1
27,10,103,194,1
27,10,103,195,1
27,10,103,196,1
27,10,103,197,1
27,10,103,198,1
27,10,103,199,1
27,10,103,200,1
27,10,103,201,1
27,10,103,202,1
27,10,103,203,1
27,10,103,204,1
27,10,103,205,11
27,10,103,206,4
27,10,103,207,5
27,10,103,208,22
28,11,264,209,1
28,11,264,210,1
28,11,264,211,1
28,11,264,212,1
28,11,264,213,1
28,11,264,214,1
28,11,264,215,1
28,11,264,216,1
28,11,264,217,1
28,11,264,218,1
28,11,264,219,1
28,11,264,220,11
28,11,264,221,11
28,11,264,222,11
28,11,264,223,11
28,11,264,224,12
28,11,264,225,5
28,11,264,226,13
28,11,264,227,23
28,11,264,228,25
29,12,4,229,1
29,12,4,230,1
29,12,4,231,1
29,12,4,232,1
29,12,4,233,1
29,12,4,234,1
29,12,4,235,1
29,12,4,236,1
29,12,4,237,1
29,12,4,238,1
29,12,4,239,1
29,12,4,240,11
29,12,4,241,11
29,12,4,242,11
29,12,4,243,11
29,12,4,244,11
29,12,4,245,11
29,12,4,246,5
29,12,4,247,3
29,12,4,248,4
30,13,401,249,1
30,13,401,250,1
30,13,401,251,1
30,13,401,252,1
30,13,401,253,1
30,13,401,254,1
30,13,401,255,1
30,13,401,256,1
30,13,401,257,1
30,13,401,258,6
