circuitid,raceid,resultid,statusid,alt
1,1,7568,24,10
1,1,7567,4,10
1,1,7569,22,10
1,1,7570,20,10
1,1,7571,3,10
1,1,7572,4,10
1,1,7573,2,10
1,1,7566,4,10
1,1,7565,11,10
1,1,7564,1,10
1,1,7563,1,10
1,1,7562,1,10
1,1,7561,1,10
1,1,7560,1,10
1,1,7559,1,10
1,1,7558,1,10
1,1,7557,1,10
1,1,7556,1,10
1,1,7555,1,10
1,1,7554,1,10
2,2,7588,20,18
2,2,7589,20,18
2,2,7590,11,18
2,2,7586,11,18
2,2,7591,20,18
2,2,7592,5,18
2,2,7593,20,18
2,2,7587,11,18
2,2,7574,1,18
2,2,7575,1,18
2,2,7576,1,18
2,2,7577,1,18
2,2,7578,1,18
2,2,7579,1,18
2,2,7580,1,18
2,2,7581,1,18
2,2,7582,1,18
2,2,7583,1,18
2,2,7584,11,18
2,2,7585,11,18
17,3,7598,1,5
17,3,7613,4,5
17,3,7612,40,5
17,3,7611,31,5
17,3,7610,20,5
17,3,7609,12,5
17,3,7608,11,5
17,3,7607,11,5
17,3,7606,1,5
17,3,7605,1,5
17,3,7604,1,5
17,3,7603,1,5
17,3,7602,1,5
17,3,7601,1,5
17,3,7600,1,5
17,3,7599,1,5
17,3,7597,1,5
17,3,7596,1,5
17,3,7595,1,5
17,3,7594,1,5
3,4,7622,1,7
3,4,7623,1,7
3,4,7624,1,7
3,4,7614,1,7
3,4,7615,1,7
3,4,7625,1,7
3,4,7616,1,7
3,4,7617,1,7
3,4,7618,1,7
3,4,7619,1,7
3,4,7620,1,7
3,4,7621,1,7
3,4,7633,51,7
3,4,7632,11,7
3,4,7631,11,7
3,4,7630,11,7
3,4,7629,11,7
3,4,7628,11,7
3,4,7627,11,7
3,4,7626,1,7
4,5,7653,4,109
4,5,7644,11,109
4,5,7643,11,109
4,5,7642,11,109
4,5,7641,1,109
4,5,7640,1,109
4,5,7639,1,109
4,5,7638,1,109
4,5,7637,1,109
4,5,7636,1,109
4,5,7635,1,109
4,5,7634,1,109
4,5,7646,11,109
4,5,7647,11,109
4,5,7648,9,109
4,5,7649,6,109
4,5,7650,4,109
4,5,7651,4,109
4,5,7652,4,109
4,5,7645,11,109
6,6,7661,1,7
6,6,7673,4,7
6,6,7672,4,7
6,6,7671,3,7
6,6,7670,23,7
6,6,7669,3,7
6,6,7668,3,7
6,6,7667,11,7
6,6,7666,11,7
6,6,7665,11,7
6,6,7664,11,7
6,6,7663,11,7
6,6,7662,1,7
6,6,7660,1,7
6,6,7659,1,7
6,6,7658,1,7
6,6,7657,1,7
6,6,7656,1,7
6,6,7655,1,7
6,6,7654,1,7
5,7,7685,1,130
5,7,7684,1,130
5,7,7683,1,130
5,7,7682,1,130
5,7,7681,1,130
5,7,7680,1,130
5,7,7679,1,130
5,7,7678,1,130
5,7,7677,1,130
5,7,7676,1,130
5,7,7675,1,130
5,7,7674,1,130
5,7,7693,23,130
5,7,7692,6,130
5,7,7691,11,130
5,7,7690,11,130
5,7,7689,11,130
5,7,7688,11,130
5,7,7687,11,130
5,7,7686,1,130
9,8,7706,11,153
9,8,7704,1,153
9,8,7703,1,153
9,8,7702,1,153
9,8,7701,1,153
9,8,7700,1,153
9,8,7699,1,153
9,8,7698,1,153
9,8,7697,1,153
9,8,7696,1,153
9,8,7695,1,153
9,8,7694,1,153
9,8,7713,4,153
9,8,7712,4,153
9,8,7711,11,153
9,8,7710,11,153
9,8,7709,11,153
9,8,7708,11,153
9,8,7707,11,153
9,8,7705,11,153
20,9,7731,11,578
20,9,7724,1,578
20,9,7723,1,578
20,9,7722,1,578
20,9,7721,1,578
20,9,7720,1,578
20,9,7719,1,578
20,9,7718,1,578
20,9,7717,1,578
20,9,7716,1,578
20,9,7715,1,578
20,9,7714,1,578
20,9,7732,5,578
20,9,7733,9,578
20,9,7726,1,578
20,9,7725,1,578
20,9,7727,1,578
20,9,7728,1,578
20,9,7729,1,578
20,9,7730,1,578
11,10,7740,1,264
11,10,7753,54,264
11,10,7752,25,264
11,10,7751,36,264
11,10,7750,22,264
11,10,7749,11,264
11,10,7748,11,264
11,10,7747,11,264
11,10,7746,1,264
11,10,7745,1,264
11,10,7744,1,264
11,10,7743,1,264
11,10,7742,1,264
11,10,7741,1,264
11,10,7739,1,264
11,10,7738,1,264
11,10,7737,1,264
11,10,7736,1,264
11,10,7735,1,264
11,10,7734,1,264
12,11,7765,1,4
12,11,7754,1,4
12,11,7755,1,4
12,11,7756,1,4
12,11,7757,1,4
12,11,7758,1,4
12,11,7759,1,4
12,11,7760,1,4
12,11,7761,1,4
12,11,7762,1,4
12,11,7763,1,4
12,11,7764,1,4
12,11,7773,5,4
12,11,7772,23,4
12,11,7771,13,4
12,11,7770,11,4
12,11,7769,11,4
12,11,7768,1,4
12,11,7767,1,4
12,11,7766,1,4
13,12,7785,1,401
13,12,7784,1,401
13,12,7783,1,401
13,12,7782,1,401
13,12,7781,1,401
13,12,7780,1,401
13,12,7779,1,401
13,12,7778,1,401
13,12,7777,1,401
13,12,7776,1,401
13,12,7775,1,401
13,12,7774,1,401
13,12,7786,1,401
13,12,7787,1,401
13,12,7788,31,401
13,12,7789,23,401
13,12,7790,4,401
13,12,7791,4,401
13,12,7792,4,401
13,12,7793,4,401
14,13,7802,1,162
