circuitid,alt
1,10
2,18
3,7
4,109
5,130
6,7
7,13
8,228
9,153
10,103
11,264
12,4
13,401
14,162
15,18
16,583
17,5
18,785
19,223
20,578
21,37
22,45
80,642
24,3
25,8
26,37
27,130
28,266
29,58
30,1460
31,88
32,2227
33,345
34,432
35,0
36,1126
37,177
38,145
39,6
40,36
41,484
42,139
43,12
44,639
45,609
46,485
47,153
48,332
49,79
50,139
51,790
52,214
53,81
54,67
55,88
56,15
57,676
58,20
59,28
60,470
61,53
62,158
63,18
64,19
65,129
66,551
67,85
68,194
69,161
70,678
71,2
73,-7
75,108
76,255
77,15
78,12
79,0
