raceid,circuitid
1,1
2,2
3,17
4,3
5,4
6,6
7,5
8,9
9,20
10,11
11,12
12,13
13,14
14,15
15,22
16,18
17,24
18,1
19,2
20,3
21,4
22,5
23,6
24,7
25,8
26,9
27,10
28,11
29,12
30,13
31,14
32,15
33,16
34,17
35,18
36,1
37,2
38,3
39,4
40,6
41,7
42,19
43,8
44,9
45,20
46,11
47,5
48,14
49,13
50,16
51,17
52,18
53,3
54,2
55,1
56,21
57,20
58,4
59,6
60,9
61,7
62,19
63,8
64,10
65,11
66,5
67,14
68,17
69,22
70,18
71,1
72,2
73,3
74,21
75,4
76,6
77,20
78,7
79,19
80,8
81,9
82,10
83,11
84,5
85,14
86,13
87,18
88,22
89,17
90,1
91,2
92,3
93,21
94,4
95,6
96,20
97,7
98,19
99,8
100,9
101,10
102,11
103,13
104,14
105,17
106,22
107,18
108,1
109,2
110,18
111,21
112,4
113,70
114,6
115,7
116,20
117,8
118,9
119,10
120,11
121,14
122,19
123,22
124,1
125,2
126,18
127,21
128,4
129,70
130,6
131,7
132,20
133,9
134,8
135,10
136,11
137,13
138,14
139,19
140,22
141,1
142,2
143,18
144,21
145,4
146,70
147,6
148,7
149,20
150,8
151,9
152,10
153,11
154,13
155,14
156,19
157,22
158,1
159,18
160,21
161,9
162,4
163,20
164,6
165,7
166,8
167,70
168,10
169,11
170,13
171,14
172,19
173,22
174,2
175,1
176,18
177,21
178,6
179,4
180,7
181,8
182,9
183,70
184,10
185,11
186,13
187,14
188,20
189,2
190,22
191,1
192,18
193,25
194,21
195,4
196,6
197,7
198,8
199,9
200,70
201,10
202,11
203,13
204,14
205,20
206,22
207,1
208,18
209,25
210,21
211,6
212,4
213,7
214,8
215,9
216,10
217,11
218,13
219,14
220,70
221,20
222,22
223,26
224,1
225,18
226,25
227,20
228,21
229,6
230,4
231,7
232,8
233,9
234,10
235,11
236,13
237,14
238,27
239,22
240,18
241,25
242,21
243,4
244,6
245,7
246,8
247,9
248,10
249,11
250,13
251,14
252,27
253,20
254,28
255,22
256,29
257,18
258,28
259,21
260,6
261,4
262,7
263,8
264,9
265,10
266,11
267,13
268,14
269,27
270,26
271,22
272,29
273,30
274,18
275,31
276,21
277,4
278,6
279,7
280,8
281,9
282,10
283,11
284,13
285,14
286,27
287,22
288,29
289,30
290,32
291,18
292,4
293,21
294,6
295,7
296,8
297,9
298,10
299,11
300,13
301,14
302,27
303,22
304,29
305,33
306,18
307,21
308,6
309,7
310,32
311,8
312,9
313,10
314,11
315,13
316,14
317,27
318,4
319,22
320,29
321,33
322,18
323,21
324,6
325,7
326,32
327,34
328,9
329,10
330,11
331,13
332,14
333,27
334,26
335,22
336,29
337,3
338,1
339,2
340,17
341,4
342,6
343,5
344,7
345,12
346,9
347,10
348,11
349,13
350,14
351,15
352,22
353,35
354,18
355,24
356,36
357,21
358,6
359,32
360,33
361,7
362,34
363,9
364,10
365,11
366,13
367,14
368,27
369,26
370,22
371,29
372,36
373,21
374,6
375,32
376,7
377,37
378,34
379,9
380,10
381,11
382,13
383,14
384,27
385,26
386,22
387,29
388,36
389,21
390,13
391,6
392,37
393,34
394,9
395,10
396,11
397,70
398,14
399,27
400,26
401,32
402,22
403,29
404,36
405,26
406,21
407,6
408,13
409,7
410,37
411,34
412,38
413,10
414,11
415,70
416,14
417,27
418,32
419,29
420,36
421,27
422,21
423,6
424,7
425,37
426,34
427,9
428,20
429,70
430,39
431,14
432,13
433,38
434,30
435,29
436,36
437,30
438,40
439,21
440,41
441,6
442,7
443,37
444,42
445,38
446,10
447,70
448,39
449,14
450,20
451,27
452,36
453,43
454,34
455,21
456,6
457,13
458,37
459,7
460,9
461,10
462,70
463,39
464,14
465,38
466,30
467,30
468,36
469,43
470,21
471,40
472,6
473,37
474,7
475,39
476,38
477,34
478,10
479,70
480,41
481,14
482,44
483,43
484,36
485,25
486,21
487,40
488,6
489,45
490,41
491,9
492,10
493,70
494,39
495,14
496,7
497,44
498,25
499,18
500,30
501,43
502,40
503,6
504,34
505,38
506,10
507,70
508,39
509,21
510,7
511,46
512,25
513,18
514,30
515,43
516,45
517,40
518,6
519,41
520,9
521,10
522,70
523,39
524,14
525,7
526,46
527,25
528,36
529,30
530,43
531,6
532,40
533,45
534,47
535,34
536,38
537,10
538,70
539,39
540,14
541,46
542,7
543,25
544,18
545,30
546,43
547,45
548,6
549,40
550,47
551,41
552,9
553,10
554,70
555,39
556,14
557,46
558,48
559,16
560,18
561,30
562,43
563,45
564,40
