raceid,resultid,statusid
18,1,1
18,2,1
18,3,1
18,4,1
18,5,1
18,6,11
18,7,5
18,8,5
18,9,4
18,10,3
18,11,7
18,12,8
18,13,5
18,14,4
18,15,10
18,16,9
18,17,4
18,18,4
18,19,4
18,20,4
18,21,4
18,22,2
19,23,1
19,24,1
19,25,1
19,26,1
19,27,1
19,28,1
19,29,1
19,30,1
19,31,1
19,32,1
19,33,1
19,34,11
19,35,11
19,36,11
19,37,11
19,38,12
19,39,12
19,40,5
19,41,20
19,42,9
19,43,4
19,44,20
20,45,1
20,46,1
20,47,1
20,48,1
20,49,1
20,50,1
20,51,1
20,52,1
20,53,1
20,54,1
20,55,1
20,56,11
20,57,11
20,58,11
20,59,11
20,60,11
20,61,11
20,62,11
20,63,12
20,64,6
20,65,4
20,66,5
21,67,1
21,68,1
21,69,1
21,70,1
21,71,1
21,72,1
21,73,1
21,74,1
21,75,1
21,76,11
21,77,11
21,78,11
21,79,11
21,80,5
21,81,5
21,82,4
21,83,3
21,84,21
21,85,4
21,86,4
21,87,4
21,88,4
22,89,1
22,90,1
22,91,1
22,92,1
22,93,1
22,94,1
22,95,1
22,96,1
22,97,1
22,98,1
22,99,11
22,100,11
22,101,11
22,102,11
22,103,11
22,104,11
22,105,11
22,106,22
22,107,4
22,108,4
23,109,1
23,110,1
23,111,1
23,112,1
23,113,1
23,114,1
23,115,1
23,116,1
23,117,1
23,118,11
23,119,11
23,120,11
23,121,11
23,122,14
23,123,4
23,124,3
23,125,3
23,126,6
23,127,3
23,128,4
24,129,1
24,130,1
24,131,1
24,132,1
24,133,1
24,134,1
24,135,1
24,136,1
24,137,1
24,138,1
24,139,1
24,140,1
24,141,11
24,142,20
24,143,3
24,144,20
24,145,23
24,146,4
24,147,4
24,148,6
25,149,1
25,150,1
25,151,1
25,152,1
25,153,1
25,154,1
25,155,1
25,156,1
25,157,1
25,158,1
25,159,1
25,160,1
25,161,1
25,162,11
25,163,11
25,164,11
25,165,11
25,166,11
25,167,11
25,168,4
26,169,1
26,170,1
26,171,1
26,172,11
26,173,11
26,174,11
26,175,11
26,176,11
26,177,11
26,178,11
26,179,11
26,180,11
26,181,12
26,182,20
26,183,20
26,184,20
26,185,20
26,186,20
26,187,4
26,188,4
27,189,1
27,190,1
27,191,1
27,192,1
27,193,1
27,194,1
27,195,1
27,196,1
27,197,1
27,198,1
27,199,1
27,200,1
27,201,1
27,202,1
27,203,1
27,204,1
27,205,11
27,206,4
27,207,5
27,208,22
28,209,1
28,210,1
28,211,1
28,212,1
28,213,1
28,214,1
28,215,1
28,216,1
28,217,1
28,218,1
28,219,1
28,220,11
28,221,11
28,222,11
28,223,11
28,224,12
28,225,5
28,226,13
28,227,23
28,228,25
29,229,1
29,230,1
29,231,1
29,232,1
29,233,1
29,234,1
29,235,1
29,236,1
29,237,1
29,238,1
29,239,1
29,240,11
29,241,11
29,242,11
29,243,11
29,244,11
29,245,11
29,246,5
29,247,3
29,248,4
30,249,1
30,250,1
30,251,1
30,252,1
30,253,1
30,254,1
30,255,1
30,256,1
30,257,1
30,258,6
30,259,11
30,260,11
30,261,11
30,262,11
30,263,11
30,264,11
30,265,11
30,266,20
30,267,6
30,268,20
31,269,1
31,270,1
31,271,1
31,272,1
31,273,1
31,274,1
31,275,1
31,276,1
31,277,1
31,278,1
31,279,1
31,280,1
31,281,1
31,282,1
31,283,1
31,284,11
31,285,11
31,286,11
31,287,12
31,288,3
32,289,1
32,290,1
32,291,1
32,292,1
32,293,1
32,294,1
32,295,1
32,296,1
32,297,1
32,298,1
32,299,1
32,300,1
32,301,1
32,302,1
32,303,3
32,304,9
32,305,3
32,306,7
32,307,26
32,308,3
33,309,1
33,310,1
33,311,1
33,312,1
33,313,1
33,314,1
33,315,1
33,316,1
33,317,1
33,318,1
33,319,1
33,320,1
33,321,11
33,322,11
33,323,11
33,324,6
33,325,5
33,326,27
33,327,28
33,328,4
34,329,1
34,330,1
34,331,1
34,332,1
34,333,1
34,334,1
34,335,1
34,336,1
34,337,1
34,338,1
34,339,1
34,340,1
34,341,1
34,342,1
34,343,11
34,344,11
34,345,11
34,346,9
34,347,5
34,348,4
35,349,1
35,350,1
35,351,1
35,352,1
35,353,1
35,354,1
35,355,1
35,356,1
35,357,1
35,358,11
35,359,11
35,360,11
35,361,11
35,362,11
35,363,11
35,364,12
35,365,12
35,366,12
35,367,3
35,368,4
36,369,1
36,370,1
36,371,1
36,372,1
36,373,1
36,374,1
36,375,11
36,376,11
36,377,11
36,378,11
36,379,11
36,380,11
36,381,11
36,382,11
36,383,11
36,384,12
36,385,12
36,386,4
36,387,4
36,388,6
36,389,29
36,390,3
37,391,1
37,392,1
37,393,1
37,394,1
37,395,1
37,396,1
37,397,1
37,398,1
37,399,1
37,400,1
37,401,11
37,402,11
37,403,11
37,404,11
37,405,11
37,406,11
37,407,11
37,408,11
37,409,9
37,410,23
37,411,5
37,412,4
38,413,1
38,414,1
38,415,1
38,416,1
38,417,1
38,418,1
38,419,1
38,420,1
38,421,1
38,422,1
38,423,11
38,424,11
38,425,11
38,426,12
38,427,14
38,428,5
38,429,6
38,430,30
38,431,5
38,432,9
38,433,4
38,434,4
39,435,1
39,436,1
39,437,1
39,438,1
39,439,1
39,440,1
39,441,1
39,442,11
39,443,11
39,444,11
39,445,11
39,446,11
39,447,12
39,448,12
39,449,6
39,450,22
