raceid,year,driverid,max_points
245,1995,63,0
1006,2018,840,6
941,2015,1,302
689,1967,356,46
814,1953,717,0
975,2017,8,73
316,1991,105,0
1036,2020,825,1
575,1976,187,20
433,1985,77,0
685,1967,391,0
320,1991,55,21
625,1972,339,0
236,1996,69,0
823,1952,554,6
640,1971,334,0
84,2005,30,55
75,2005,24,1
98,2004,15,41
393,1987,118,0
342,2010,1,59
614,1973,231,8
780,1957,611,8
754,1960,347,2
564,1976,231,15
370,1989,94,4
145,2001,31,6
907,2014,20,60
728,1963,423,3
773,1958,483,0
541,1978,244,0
874,2012,818,8
792,1955,577,0
409,1986,95,27
1118,2023,1,226
328,1990,110,0
721,1963,401,1
813,1953,525,0
913,2014,18,72
778,1957,514,0
313,1991,92,4
200,1998,22,4
358,1989,102,18
862,2012,815,22
710,1964,305,1
555,1977,260,0
393,1987,84,2
1124,2024,839,0
416,1986,177,22
625,1972,199,0
872,2012,817,4
417,1986,166,1
588,1975,276,0
138,2002,59,0
760,1959,462,0
753,1960,510,4
183,1999,55,1
572,1976,200,14
773,1958,554,9
174,2000,55,0
93,2004,18,23
709,1964,429,0
841,2011,30,0
300,1992,71,0
926,2015,822,0
33,2008,6,9
458,1983,190,0
861,2012,817,2
382,1988,156,5
930,2015,807,6
319,1991,128,0
316,1991,109,4
873,2012,3,93
718,1964,431,0
604,1974,230,1
481,1982,209,0
372,1988,158,0
830,1951,626,0
574,1976,200,19
445,1984,184,0
991,2018,838,6
736,1962,356,6
588,1975,288,4
584,1975,197,1.5
274,1993,77,1
419,1986,173,0
669,1968,278,3
798,1955,555,3
326,1990,147,0
239,1996,69,0
82,2005,23,26
438,1984,170,0
647,1970,339,0
376,1988,146,0
626,1972,305,4
277,1993,77,2
197,1998,49,8
156,2001,44,5
860,2012,814,1
965,2016,836,1
232,1996,65,4
1056,2021,844,40
349,2010,18,147
1105,2023,848,1
716,1964,408,4
461,1983,186,0
20,2008,8,19
134,2002,62,0
329,1990,147,0
307,1991,120,0
723,1963,394,0
504,1980,173,6
586,1975,291,0
768,1958,578,7
918,2014,1,384
782,1957,592,0
708,1965,358,4
354,2010,5,0
750,1960,520,0
596,1974,278,0
557,1977,257,0
871,2012,155,33
691,1966,383,0
815,1953,717,0
814,1953,555,1.5
733,1962,386,4
816,1953,797,0
788,1956,611,6
333,1990,147,0
1143,2024,822,0
549,1977,255,13
796,1955,641,0
584,1975,231,22
379,1988,159,0
46,2007,18,1
932,2015,828,5
538,1978,209,0
70,2006,38,0
823,1952,739,0
583,1975,283,0
49,2007,16,0
271,1994,50,10
803,1954,702,0
764,1959,542,0
208,1997,64,0
333,1990,117,60
843,2011,13,24
1004,2018,839,47
846,2011,18,76
181,1999,14,12
614,1973,304,23
1122,2024,840,1
853,2011,13,82
1031,2020,826,0
1061,2021,832,68
560,1976,197,0
914,2014,827,0
822,1952,687,0
816,1953,713,0
775,1958,593,0
1095,2022,855,6
837,1950,780,0
991,2018,843,0
359,1989,145,8
149,2001,56,4
23,2008,7,2
748,1960,508,0
478,1982,105,14
327,1990,95,13
329,1990,148,0
137,2002,30,122
558,1977,262,0
1119,2023,846,195
328,1990,138,1
239,1996,44,13
475,1982,201,0
826,1951,741,0
730,1962,385,4
470,1982,173,2
521,1979,202,8
1099,2023,842,4
432,1985,170,0
709,1964,373,3
328,1990,122,6
473,1982,172,1
665,1969,207,0
463,1983,160,0
268,1994,49,5
977,2017,828,0
744,1961,376,0
460,1983,196,0
344,2010,13,67
751,1960,529,0
872,2012,155,35
433,1985,179,0
1011,2019,9,0
443,1984,189,0
430,1985,173,30
69,2006,27,0
790,1956,501,3
590,1974,250,0
170,2000,56,3
1129,2024,848,2
481,1982,194,2
936,2015,832,9
870,2012,155,33
767,1958,582,0
975,2017,838,0
774,1958,583,0
1140,2024,815,150
755,1960,524,0
506,1980,199,26
460,1983,175,31
90,2004,44,0
953,2016,18,5
774,1958,430,0
957,2016,828,0
1131,2024,842,6
