race_id,driver_id,lap,message_text,position
941,20,36,"Final lap, bring it home.",2.0
607,332,5,"Final lap, bring it home.",
623,314,19,"Final lap, bring it home.",
939,826,38,"Final lap, bring it home.",6.0
444,183,23,"Final lap, bring it home.",
747,341,46,"Final lap, bring it home.",
1105,822,17,"Final lap, bring it home.",17.0
980,815,4,"Final lap, bring it home.",10.0
902,821,14,"Final lap, bring it home.",16.0
846,816,53,"Final lap, bring it home.",16.0
394,102,25,"Final lap, bring it home.",
985,4,19,"Final lap, bring it home.",10.0
521,224,39,"Final lap, bring it home.",
21,20,32,"Final lap, bring it home.",
856,15,29,"Final lap, bring it home.",16.0
806,648,23,"Final lap, bring it home.",
365,163,36,"Final lap, bring it home.",
1017,848,51,"Final lap, bring it home.",15.0
713,364,13,"Final lap, bring it home.",
502,117,11,"Final lap, bring it home.",
797,643,30,"Final lap, bring it home.",
1082,830,22,"Final lap, bring it home.",1.0
679,361,15,"Final lap, bring it home.",
137,15,13,"Final lap, bring it home.",7.0
706,373,13,"Final lap, bring it home.",
628,307,48,"Final lap, bring it home.",
1015,840,6,"Final lap, bring it home.",15.0
46,20,21,"Final lap, bring it home.",17.0
48,5,40,"Final lap, bring it home.",4.0
1071,822,52,"Final lap, bring it home.",3.0
774,590,54,"Final lap, bring it home.",
247,71,33,"Final lap, bring it home.",
120,44,1,"Final lap, bring it home.",15.0
496,176,35,"Final lap, bring it home.",
310,78,49,"Final lap, bring it home.",
179,63,7,"Final lap, bring it home.",16.0
1037,847,4,"Final lap, bring it home.",17.0
994,839,71,"Final lap, bring it home.",6.0
100,17,57,"Final lap, bring it home.",8.0
469,172,26,"Final lap, bring it home.",
447,77,17,"Final lap, bring it home.",
345,807,13,"Final lap, bring it home.",9.0
19,5,52,"Final lap, bring it home.",3.0
670,306,33,"Final lap, bring it home.",
475,118,9,"Final lap, bring it home.",
42,1,60,"Final lap, bring it home.",1.0
777,483,15,"Final lap, bring it home.",
54,3,4,"Final lap, bring it home.",6.0
13,18,33,"Final lap, bring it home.",5.0
301,125,35,"Final lap, bring it home.",
1144,815,16,"Final lap, bring it home.",
1082,825,3,"Final lap, bring it home.",5.0
987,807,42,"Final lap, bring it home.",10.0
167,15,14,"Final lap, bring it home.",
599,311,17,"Final lap, bring it home.",
392,122,39,"Final lap, bring it home.",
578,230,19,"Final lap, bring it home.",
379,122,20,"Final lap, bring it home.",
902,154,3,"Final lap, bring it home.",17.0
182,70,36,"Final lap, bring it home.",10.0
1059,849,16,"Final lap, bring it home.",15.0
351,808,5,"Final lap, bring it home.",12.0
243,94,41,"Final lap, bring it home.",
599,222,55,"Final lap, bring it home.",
695,374,13,"Final lap, bring it home.",
825,633,8,"Final lap, bring it home.",
661,304,9,"Final lap, bring it home.",
1042,8,61,"Final lap, bring it home.",11.0
