team,message_type,count
Brabham,weather,13
Brabham,penalty,5
Brabham,strategy,31
Brabham,alert,36
Brabham,engine,34
Brabham,info,20
Lotus-Ford,engine,3
Lotus-Ford,strategy,9
Lotus-Ford,alert,5
Lotus-Ford,info,3
Lotus-Ford,weather,2
Lotus-Ford,penalty,2
Sauber,alert,35
Sauber,engine,30
Sauber,info,24
Sauber,penalty,9
Sauber,strategy,41
Sauber,weather,19
Sauber,retirement,2
Arrows,engine,19
Arrows,weather,8
Arrows,penalty,7
Arrows,strategy,21
Arrows,info,15
Arrows,alert,25
Arrows,retirement,1
Cooper-Climax,strategy,14
Cooper-Climax,alert,9
Cooper-Climax,info,3
Cooper-Climax,penalty,3
Cooper-Climax,engine,12
Cooper-Climax,weather,3
Jordan,strategy,22
Jordan,engine,22
Jordan,weather,11
Jordan,info,20
Jordan,alert,27
Jordan,penalty,3
Osella,strategy,10
Osella,alert,14
Osella,engine,20
Osella,weather,4
Osella,info,9
Osella,penalty,1
Force India,info,19
Force India,strategy,19
Force India,alert,16
Force India,engine,21
Force India,weather,7
Force India,penalty,1
Cooper-Maserati,alert,4
Cooper-Maserati,info,6
Cooper-Maserati,penalty,2
Cooper-Maserati,strategy,6
Cooper-Maserati,engine,6
Cooper-Maserati,weather,3
Aston Martin,alert,7
Aston Martin,info,7
Aston Martin,strategy,13
Aston Martin,weather,4
Aston Martin,penalty,3
Aston Martin,engine,3
Mercedes,alert,34
Mercedes,penalty,6
Mercedes,engine,34
Mercedes,strategy,27
Mercedes,info,16
Mercedes,weather,11
Minardi,strategy,37
Minardi,engine,26
Minardi,alert,35
Minardi,weather,10
Minardi,info,23
Minardi,penalty,6
Ferrari,info,62
Ferrari,alert,119
Ferrari,strategy,100
Ferrari,weather,47
Ferrari,penalty,27
Ferrari,engine,102
Toleman,alert,9
Toleman,engine,4
Toleman,info,5
Toleman,retirement,1
Toleman,weather,2
Toleman,penalty,2
Toleman,strategy,2
Team Lotus,alert,50
Team Lotus,penalty,10
Team Lotus,weather,16
Team Lotus,engine,42
Team Lotus,info,31
Team Lotus,strategy,40
Leyton House,alert,5
Leyton House,engine,5
Leyton House,strategy,2
Leyton House,info,2
Leyton House,weather,1
Williams,alert,95
Williams,strategy,63
Williams,weather,22
Williams,info,42
Williams,engine,75
Williams,penalty,11
McLaren,engine,69
McLaren,alert,93
McLaren,strategy,96
McLaren,info,71
McLaren,penalty,11
McLaren,weather,26
McLaren,retirement,1
Talbot-Lago,info,6
Talbot-Lago,engine,4
